gid,Latitude,Longitude,Ratio
 758,-71.16664,42.343966,0.125
 758,-71.166671,42.344013,0.125
 758,-71.166707,42.344069,0.125
 758,-71.16673,42.344119,0.125
 758,-71.16677,42.344162,0.125
 758,-71.166812,42.344227,0.125
 758,-71.166844,42.344274,0.125
 758,-71.166876,42.344319,0.125
 758,-71.166911,42.344397,0.125
 758,-71.166937,42.344446,0.125
 758,-71.166966,42.344498,0.125
 758,-71.166999,42.344543,0.125
 758,-71.16704,42.344592,0.125
 758,-71.167055,42.344656,0.125
 758,-71.167083,42.344706,0.125
 758,-71.167111,42.344783,0.125
 758,-71.167138,42.344836,0.125
 758,-71.167165,42.344894,0.125
 758,-71.167189,42.344937,0.125
 758,-71.167214,42.34498,0.125
 758,-71.167234,42.345031,0.125
 758,-71.167257,42.345078,0.125
 758,-71.16729,42.345133,0.125
 758,-71.167317,42.345185,0.125
 758,-71.167337,42.34523,0.125
 758,-71.167355,42.345273,0.125
 758,-71.167368,42.345322,0.125
 758,-71.167376,42.345372,0.125
 758,-71.167372,42.345425,0.125
 876,-71.1907,42.283436,0.02614379
 876,-71.190112,42.283981,0.02614379
 876,-71.18838,42.285581,0.02614379
 876,-71.187378,42.286515,0.02614379
 876,-71.18635,42.28746,0.02614379
 876,-71.178636,42.294595,0.02614379
 876,-71.178496,42.294497,0.02614379
 876,-71.178433,42.294465,0.02614379
 876,-71.178056,42.294273,0.02614379
 876,-71.177991,42.294244,0.02614379
 876,-71.17758,42.294065,0.02614379
 876,-71.176954,42.293773,0.02614379
 876,-71.176684,42.293602,0.02614379
 876,-71.176407,42.2934,0.02614379
 876,-71.176583,42.293204,0.02614379
 876,-71.176593,42.293196,0.02614379
 876,-71.176784,42.293054,0.02614379
 876,-71.177017,42.292932,0.02614379
 876,-71.177236,42.292808,0.02614379
 876,-71.177363,42.29275,0.02614379
 876,-71.177618,42.292647,0.02614379
 876,-71.178061,42.292486,0.02614379
 876,-71.177545,42.291953,0.02614379
 876,-71.177035,42.291431,0.02614379
 876,-71.176633,42.291031,0.02614379
 876,-71.1764,42.290967,0.02614379
 876,-71.17625,42.290906,0.02614379
 876,-71.175709,42.290814,0.02614379
 876,-71.175191,42.290779,0.02614379
 876,-71.174841,42.290802,0.02614379
 876,-71.174734,42.290863,0.02614379
 876,-71.174589,42.29097,0.02614379
 876,-71.174407,42.291171,0.02614379
 876,-71.174366,42.291204,0.02614379
 876,-71.174022,42.291282,0.02614379
 876,-71.173992,42.291247,0.02614379
 876,-71.173775,42.290989,0.02614379
 876,-71.173561,42.290717,0.02614379
 876,-71.172713,42.289663,0.02614379
 876,-71.171933,42.288745,0.02614379
 876,-71.171792,42.288549,0.02614379
 876,-71.171746,42.288437,0.02614379
 876,-71.172039,42.288184,0.02614379
 876,-71.172254,42.287984,0.02614379
 876,-71.172856,42.287355,0.02614379
 876,-71.173766,42.286474,0.02614379
 876,-71.174082,42.28621,0.02614379
 876,-71.175106,42.285389,0.02614379
 876,-71.176216,42.284561,0.02614379
 876,-71.176266,42.28446,0.02614379
 876,-71.176238,42.284391,0.02614379
 876,-71.176102,42.284364,0.02614379
 876,-71.175732,42.284326,0.02614379
 876,-71.174912,42.284313,0.02614379
 876,-71.174548,42.284318,0.02614379
 876,-71.173935,42.284305,0.02614379
 876,-71.173285,42.284346,0.02614379
 876,-71.173259,42.285304,0.02614379
 876,-71.173173,42.285331,0.02614379
 876,-71.173101,42.285415,0.02614379
 876,-71.172802,42.285377,0.02614379
 876,-71.172447,42.285389,0.02614379
 876,-71.172507,42.284947,0.02614379
 876,-71.1725,42.284823,0.02614379
 876,-71.172489,42.284633,0.02614379
 876,-71.172458,42.284307,0.02614379
 876,-71.172431,42.28414,0.02614379
 876,-71.172339,42.283802,0.02614379
 876,-71.172241,42.283573,0.02614379
 876,-71.172213,42.283508,0.02614379
